symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
MSN,3/31/2022,2022,FY,0.389963408,-0.172836573,-0.223922445,-0.224017488,1.215416053,1.274485577,1.274485577,1.274485577,0.020244262,16152606.8,-9008393.2,-4.441189662,1.968389812,-3.427972581,-3.426518201,0.602282218,0.602282218,-1.097781282,3.052657811,1.911798217,1.910987102,-0.225164894,-0.291841438,0.015474104,0.013828724,8.526262284,21.464,-293.9090909,1.299503585,0,0,0.654033634,0,0,-0.000424448,0.000243724,0.009345794,0,2.22626339,-0.119072034,-0.121192936,1.160076985,28138000,26819000,26322000,28545000,992500,773000,2036500,57.55666585,44.35946769,123.5978836,6.341576507,8.22823219,2.953125,-0.135612812,9.50E-05
MSN,3/31/2021,2021,FY,0.353799363,-0.188946443,-0.204010835,-0.204105878,1.439433541,1.446799411,1.446799411,1.446799411,0.021337262,26935040,22132040,-6.774406439,3.617869711,-6.274176567,-6.271254948,0.884711447,0.884711447,2.972738751,-5.947874227,-5.155378523,-5.152977881,-0.147614409,-0.159457718,0.014517983,0.013037579,1.290782048,21.86979167,-587.4285714,1.07972837,0,0,0.788179987,0,0,-0.000465875,0.000268637,0.008583691,0,2.480074808,-0.133634598,-0.117279217,1.346374091,32056000,30445000,30135000,32272000,587500,690000,1939500,33.87709872,50.02957036,124.5025222,10.77424023,7.295685279,2.931667517,-0.130596157,9.50E-05
MSN,3/31/2020,2020,FY,0.299054317,-0.204676139,-0.090814047,-0.090814047,1.633654897,1.635745854,1.635745854,1.635745854,0.022810436,14730100,8934100,-3.420037149,2.340711902,-7.708058608,-7.708058608,0.427939339,0.427939339,1.419688543,-2.341834862,-4.675091575,-4.675091575,-0.292394485,-0.129734353,0.013944975,0.012664573,1.519266055,30.89826303,0,0.443696308,0,0,0.63546798,0,0,0,0,0,0,2.744623524,-0.148279769,-0.113638163,1.53110298,36147000,34421000,33876000,36598000,545500,568500,2719000,28.07246147,31.98815692,103.6373057,13.00206612,11.41047297,3.52189781,-0.125127103,0
BRLS,12/31/2023,2023,FY,0,-0.448923106,-0.356936545,-0.356937308,0.014211407,2.221691233,2.221691233,2.221691233,0.608656939,74104601.61,77999486.61,-25.19362413,0,-31.68630437,-31.68623663,5.090716402,5.090716402,0,-15.20164464,-33.35171393,-33.35164263,-0.039692582,-0.031559444,0.273961084,0.18091061,-0.759090351,0.01638992,0,0.795095062,0,0,0,0,0,-2.14E-06,0,0,0,4.737171298,-0.260887619,-0.133433052,-1.128504451,-7364509,14556812,-7364509,-7364509,1296378.5,4355501,3142332.5,0,0,0,0,0,0,-0.20206368,7.63E-07
BRLS,12/31/2022,2022,FY,1.170529217,-1.202146369,-1.100215758,-1.254787467,0.235408393,0.212219874,0.1245192,0.212219874,2.030558125,225839625,261870264,-8.592963605,8.825068057,-9.389067489,-8.232469857,48.67593122,48.67593122,10.23302665,-13.35319614,-10.88700702,-9.54588485,-0.116374286,-0.121470229,8.875064471,0.635735379,-1.837261636,0.368229472,-7.171559869,0.915209483,0,0,0,0,0.029602047,-0.140492179,0.132052842,0.979115462,0.020104534,2.395868403,-0.50442819,-0.418144404,-2.282350497,-27178245,2722301,-44290477,21580860,2363271.5,7979616.5,6191671,36.9804847,94.45841358,68.14824354,9.870070739,3.864134344,5.355970764,-5.664626717,0.15457171
BRLS,12/31/2021,2021,FY,0.62357928,-0.462947055,-0.310328096,-1.280386095,0.132891984,1.284589686,1.196889011,1.284589686,0.615359314,216001500,226284721,-21.3415333,15.84401587,-31.83727199,-7.716422444,7.691171828,7.691171828,16.59830469,-27.89958885,-33.35295454,-8.08377951,-0.046856989,-0.129593734,0.469605875,0.229831973,-1.267861289,0.665866406,-38.56208234,0.67033172,0,0,0,0,0.033412997,-3.125910967,1.55562898,10.11098541,0,3.657961561,-0.247812357,-0.182474788,-0.994587444,-5807857,26166986,-17725213,39955198,,,,57.1284219,191.0736562,160.7697812,6.389113997,1.910258103,2.270327155,-0.360385157,0.970057999
WDS,12/31/2023,2023,FY,7.378862911,0.875297444,3.240182406,0.450303625,1.027683565,18.54470549,16.43819146,18.13816673,3.56235514,39997146384,44755146384,24.0946665,2.858163955,6.508892821,46.83506602,1.162741544,1.162741544,3.198166813,4.668316093,7.28318086,52.4064946,0.041502961,0.021351523,0.18890084,0.117375047,0.496297069,1.027298274,21.11627907,3.568524971,0.106332586,2.562048193,0.047494755,0,0.072162714,0.861025224,0.37809061,1.278328099,0.004088952,18.9001732,0.070086244,0.032317097,-8.809789681,136000000,31175000000,-15073000000,46820000000,1643000000,1842000000,647000000,42.64506217,80.33980583,29.90291262,8.559021407,4.543202417,12.20616883,0.048257217,2.789878781
WDS,12/31/2022,2022,FY,11.12781976,4.299730796,5.830244389,3.755151164,4.543236633,24.56695987,21.51387309,24.04355466,4.395677389,36587541751,36910541751,5.630585065,2.175628337,4.152484593,6.447143921,1.006922659,1.006922659,2.194835093,3.25117077,4.189143315,6.50406022,0.177601437,0.155107442,0.179216204,0.109775628,0.02845063,1.405871671,64.16030534,1.340076046,0.069914509,0.393659588,0.069090795,0,0.077780213,0.355918738,0.186477969,1.063772049,0.002271,48.22933007,0.140586683,0.118778219,-9.098880153,2682000000,32513000000,-12904000000,49286000000,1009500000,1110000000,440000000,35.8336802,113.2392966,37.83944954,10.18594791,3.223262691,9.646017699,0.178830911,2.075093225
WDS,12/31/2021,2021,FY,7.232459178,2.060035414,3.93931129,1.439843209,3.474946273,14.78176697,14.0691173,13.96523251,7.272974247,15315042543,19087042543,7.723168201,2.199805019,4.038777042,11.04981424,1.139257795,1.139257795,2.741603353,4.614855547,5.03350278,13.77131497,0.129480541,0.090499259,0.505616306,0.256742464,0.911992263,1.631578947,11.99019608,1.862475442,0.018870336,0.14573878,0.032461936,0,0.025912216,0.634493671,0.345590348,1.423668639,0.002372249,25.44208432,0.074787294,0.076896231,-8.854100772,1656000000,13543000000,-7967000000,22685000000,335500000,145500000,163500000,19.29330652,18.1313394,19.17555267,18.91847826,20.13089005,19.03465347,0.147511716,2.499468081
WDS,12/31/2020,2020,FY,3.78503887,-4.235037935,1.944038019,0.453153265,0.566704431,13.53677096,13.09202889,12.69565121,8.265052932,16625456743,23821456743,-4.127471883,4.618182429,8.991593696,38.57414558,1.37684942,1.37684942,6.617071318,12.20987019,12.88342712,55.27020126,-0.242279058,0.0259241,0.626335404,0.30715185,3.688364941,2.030563515,0.426174497,-0.465157233,0.02730752,-0.112711023,0.060555556,0,0.01717906,0.766901028,0.393888889,0.777412281,0.006845278,34.78142753,0.004725467,-0.166446281,-11.48049602,2158000000,12452000000,-7496000000,21076000000,323000000,162000000,150500000,30.72083333,12.2278057,15.28475712,11.88118812,29.85,23.88,-0.333581781,1.490884755
WDS,12/31/2019,2019,FY,5.343901645,0.366518349,3.460018702,2.163847397,4.366163192,18.60267621,18.34087739,17.75637145,7.594302938,32049835262,34867835262,93.43975295,6.408685315,9.898034361,15.82707914,1.928737754,1.928737754,6.972172618,9.911266419,10.76832466,17.21868408,0.010702083,0.063182852,0.413793103,0.234252036,0.801023309,4.108753318,7.922077922,9.440233236,0.033135896,3.096209913,0.033993201,0,0.008346677,0.374613959,0.24255149,0.695926563,0.005984643,12.10085984,0.034519835,0.011783702,-8.027873842,3516000000,17164000000,-7297000001,26992999999,415000000,218000000,165500000,25.0339932,70.91066782,55.71552472,14.58017493,5.147321429,6.551136364,0.020641512,1.296171305
